Everything has changed.	semuanya telah berubah
Never saw him again.	tidak pernah melihatnya lagi
He made it.	dia berhasil
If not for a long time after that.	jika tidak untuk waktu yang lama setelah itu
I know you will.	saya tahu anda akan
He owns me.	dia memiliki saya
Live and let live is not enough.	hidup dan biarkan hidup saja tidak cukup
Maybe, down the road, who knows.	mungkin di jalan siapa tahu
This will be great.	ini akan sangat bagus
He had to come back.	dia harus kembali
Much better .	jauh lebih baik
But everyone knows what happened then.	tapi semua orang tahu apa yang terjadi kemudian
He will talk to you.	dia akan berbicara dengan anda
I think all day about what to do.	saya berpikir sepanjang hari tentang apa yang harus dilakukan
Others have a lot of work.	orang lain banyak pekerjaan
He's probably never been here before.	dia mungkin belum pernah ke sini
That can be very important.	itu bisa sangat penting
It doesn't really mean much.	itu tidak terlalu berarti
I can't do anything else.	aku tidak bisa melakukan hal lain
I did something right.	saya melakukan sesuatu yang benar
We don't know, and we don't know.	kami tidak tahu dan kami tidak tahu
We might be able to find more reasons.	kita mungkin bisa menemukan lebih banyak alasan
I feel too big.	saya merasa terlalu besar
I need them to work for me.	saya membutuhkan mereka untuk bekerja untuk saya
Nothing to do.	tidak ada yang dilakukan
Who looks after your life.	yang terlihat setelah hidup anda
I've always been like that.	aku selalu seperti itu
He just wished they would stop.	dia hanya berharap mereka berhenti
But this doesn't really matter to me.	tapi ini tidak terlalu penting bagi saya
I don't, but so what.	saya tidak tapi jadi apa
I stood at the door.	aku berdiri di pintu
That's good.	itu bagus
We need to think differently.	kita perlu berpikir secara berbeda
He's right.	dia benar
I hope he will.	saya berharap dia akan melakukannya
He had so little time.	dia punya begitu sedikit waktu
I never knew.	saya tidak pernah tahu
It came from you.	itu datang dari anda
But he's not like us.	tapi dia tidak seperti kita
He took everything.	dia mengambil semuanya
See everything with me.	lihat semuanya dengan saya
Which doesn't really interest me.	yang tidak benarbenar menarik bagi saya
But all that was a long time ago.	tapi semua itu sudah lama sekali
Very different from me.	sangat berbeda dengan saya
Even if he's still alive.	bahkan jika dia masih hidup
It's not too difficult.	ini tidak terlalu sulit
Let me.	biarkan aku
They are not real when they come out.	mereka tidak nyata ketika mereka keluar
I'm really happy that they really worked hard.	saya sangat senang bahwa mereka benarbenar bekerja keras
It really means a lot.	itu benarbenar sangat berarti
It just does what you do.	itu hanya melakukan apa yang anda lakukan
And for a long time, it worked fine.	dan untuk waktu yang lama itu bekerja dengan baik
Nothing ever worked.	tidak ada yang pernah berhasil
He couldn't see it, but he didn't have to.	dia tidak bisa melihatnya tetapi dia tidak perlu melihatnya
And once you do that too.	dan sekali anda melakukannya juga
Let me help.	biarkan saya membantu
Stay there.	tetap di sana
He didn't come.	dia tidak datang
All are correct.	semuanya benar
It didn't work.	itu tidak berhasil
I think it is about timing.	saya pikir ini adalah tentang waktu
It's deeper.	ini lebih dalam
He's quite interesting, so it shouldn't be too difficult.	dia cukup menarik jadi seharusnya tidak terlalu sulit
You will live better like this.	anda akan hidup lebih baik seperti ini
Time once gone will never come back.	waktu sekali pergi tidak akan pernah kembali
And that's what happened.	dan itulah yang terjadi
I always know some will try to come back.	saya selalu tahu beberapa akan mencoba untuk kembali
No, no, the front.	tidak tidak bagian depan
We found them.	kami menemukan mereka
We can't do it.	kami tidak bisa melakukannya
They probably will.	mereka mungkin akan melakukannya
At least, nothing could be done beforehand.	setidaknya tidak ada yang bisa dilakukan sebelumnya
He is so strong.	dia sangat kuat
But people go.	tapi orangorang pergi
And now they are no more.	dan sekarang mereka tidak ada lagi
I thought this would be it.	saya pikir ini akan menjadi itu
She wouldn't believe that to him.	dia tidak akan percaya itu padanya
It could be anywhere.	itu bisa di mana saja
This is the last thing to go.	ini adalah hal terakhir untuk pergi
He came.	dia datang
But one thing, we must be sure.	namun satu hal kita harus yakin
Still they didn't speak.	tetap saja mereka tidak berbicara
So their time finally.	jadi waktu mereka akhirnya
This is not unusual.	hal ini tidak biasa
I am a very simple person.	saya orang yang sangat sederhana
But much more interesting.	tapi banyak yang lebih menarik
Not much in other houses.	tidak banyak di rumah lain
I am a simple man.	saya seorang pria sederhana
You do a sick job.	anda melakukan pekerjaan yang sakit
In the end everything turned out great.	pada akhirnya semuanya menjadi luar biasa
You know it will always be.	anda tahu itu akan selalu terjadi
I have this all the time.	saya memiliki ini sepanjang waktu
When it works, it's great.	ketika berhasil itu luar biasa
He is not here.	dia tidak ada
Today, everything is different.	hari ini semuanya berbeda
If or for.	jika atau untuk
Not many of them, but they are out there.	tidak banyak dari mereka tetapi mereka ada di luar sana
No one saw him come out.	tidak ada yang melihatnya keluar
What a woman.	apa seorang wanita
We will all get back together.	kita semua akan kembali bersama
I still talk to these people.	saya masih berbicara dengan orangorang ini
We have this.	kami punya ini
But that's not what happened.	tapi bukan itu yang terjadi
We really liked the first one.	kami sangat menyukai yang pertama
I am strong.	saya kuat
People look different.	orangorang tampak berbeda
I want him to be better than him.	aku ingin dia lebih baik dari dia
And the first woman.	dan wanita pertama
You are always.	anda selalu
These are the things that matter.	ini adalah halhal yang penting
This is really good work.	ini benarbenar pekerjaan yang bagus
All very right.	semua sangat tepat
It's not one of the best.	itu bukan salah satu yang terbaik
There are two reasons for that.	ada dua alasan untuk itu
Or not sick.	atau tidak sakit
In and of themselves, they never would.	dalam dan dari diri mereka sendiri mereka tidak akan pernah melakukannya
When we go inside, let me do the talking.	ketika kita masuk ke dalam biarkan aku yang berbicara
She is a woman.	dia adalah seorang wanita
He didn't need to say more.	dia tidak perlu mengatakan lebih banyak
Worked really hard on this one.	bekerja sangat keras untuk yang satu ini
Or at least that.	atau setidaknya itu
Now maybe he will die.	sekarang mungkin dia akan mati
He walked fast.	dia berjalan cepat
They reach outside.	mereka sampai di luar
More to do.	lebih banyak yang harus dilakukan
No one else saw me.	tidak ada orang lain yang melihat saya
I never believed this to be so.	saya tidak pernah percaya ini menjadi begitu
You can do it at night.	anda bisa melakukannya di malam hari
You become what you eat.	anda menjadi apa yang anda makan
If anyone can help me, he can.	jika ada yang bisa membantu saya dia bisa
Nothing has changed, or nothing has changed much.	tidak ada yang berubah atau tidak ada yang banyak berubah
Neither is anyone else.	juga tidak ada orang lain
And he's good at it.	dan dia baik dalam hal itu
Something needs to be done about them.	sesuatu perlu dilakukan tentang mereka
He was the one who wanted to leave.	dia adalah orang yang ingin pergi
I just can't go.	aku hanya tidak bisa pergi
Someone should.	seseorang seharusnya
It's not what it looks like.	ini tidak seperti yang terlihat
That's a great place.	itu tempat yang bagus
It has gone.	ini telah pergi
I've seen some of what he can do.	saya telah melihat beberapa dari apa yang bisa dia lakukan
I'll get to work.	aku akan mulai bekerja
Several things.	beberapa hal
This we know.	ini kami tahu
However, it still didn't work.	namun itu masih tidak berhasil
He has gone out and actually done it.	dia telah keluar dan benarbenar melakukannya
He looked again.	dia melihat lagi
It's more like me and him.	itu lebih seperti aku dan dia
It should help itself.	itu harus membantu dirinya sendiri
It's not too far.	ini tidak terlalu jauh
But nothing has really changed.	tapi tidak ada yang benarbenar berubah
He went above and beyond.	dia pergi di atas dan di luar
The man is at home in bed.	pria itu ada di rumah di tempat tidur
With their family.	dengan keluarga mereka
We have them.	kami memiliki mereka
But no one really knows much about him.	tapi tidak ada yang benarbenar tahu banyak tentang dia
Turn into them quickly.	berubah menjadi mereka dengan cepat
And it worked fine.	dan itu bekerja dengan baik
People like him.	orangorang seperti dia
Always wrong.	selalu salah
A little too small.	sedikit terlalu kecil
I wouldn't do it, not even for you.	saya tidak akan melakukannya bahkan untuk anda
So we did just that.	jadi kami melakukan hal itu
Go to another door.	pergi ke pintu lain
And no one comes in anymore.	dan tidak ada yang masuk lagi
Some of them work.	beberapa dari mereka bekerja
But don't let them into the house.	tapi jangan biarkan mereka masuk ke dalam rumah
They've thought so little of us.	mereka sudah berpikir begitu sedikit tentang kita
They do this out of fear.	mereka melakukan ini karena takut
If he doesn't change, he will lose her.	jika dia tidak berubah dia akan kehilangan dia
You have it all.	anda memiliki semuanya
He kept hoping.	dia terus berharap
He'll be right back.	dia akan segera kembali
This is the wrong way.	ini adalah cara yang salah
In this case it is very difficult to do.	dalam hal ini sangat sulit dilakukan
Of course he will.	tentu saja dia akan melakukannya
That's really not a lot of people.	itu benarbenar tidak banyak orang
But this time it's different with us.	tapi kali ini berbeda dengan kami
And it will be easy.	dan itu akan mudah
They will succeed.	mereka akan berhasil
He couldn't see anyone.	dia tidak bisa melihat siapa pun
But then, he too.	tapi kemudian dia juga
.	
Again, no.	sekali lagi tidak
And that may be true.	dan itu mungkin benar
This is a good thing for that.	ini adalah hal yang baik untuk itu
Do not be afraid .	jangan takut
It could be him.	itu bisa jadi dia
Maybe even better.	mungkin bahkan lebih baik
I know what it's like.	aku tahu seperti apa
Everyone is out for the money.	semua orang keluar untuk uang
Many are very good.	banyak yang sangat baik
He will never walk again.	dia tidak akan pernah berjalan lagi
You have enough time.	anda punya cukup waktu
You have to think for everyone.	anda harus berpikir untuk semua orang
I am not sure.	saya tidak yakin
It doesn't even need to look so important.	bahkan tidak perlu terlihat begitu penting
It looks like fun!.	sepertinya menyenangkan
Easy now.	mudah sekarang
That is wrong.	itu salah
Great place to stay.	tempat yang bagus untuk tinggal
But too much.	tapi terlalu banyak
He's quite strong.	dia cukup kuat
But, it's always different when it happens to you.	tapi itu selalu berbeda ketika itu terjadi pada anda
Like nothing he did mattered.	seperti tidak ada yang dia lakukan penting
Let me just try.	biarkan saya mencoba saja
Close.	dekat
I can't speak for all.	saya tidak bisa berbicara untuk semua
It will look as good as new.	ini akan terlihat bagus seperti baru
Sure some may be smaller, but they are there.	tentu beberapa mungkin lebih kecil tetapi mereka ada di sana
He himself had hardly seen them before.	dia sendiri hampir tidak pernah melihat mereka sebelumnya
People try to make you feel better.	orangorang mencoba membuat anda merasa lebih baik
This is bad.	ini buruk
So it will work.	jadi itu akan berhasil
We are all from different places.	kita semua dari tempat yang berbeda
He is strong and big.	dia kuat dan besar
I still have it.	saya masih memiliki itu
I love it!.	saya suka itu
It's too small.	ini terlalu kecil
I am one of the latter.	saya adalah salah satu dari yang terakhir
And there's not a single person on the street.	dan tidak ada satu orang pun di jalan
Maybe he could have another one.	mungkin dia bisa memiliki satu lagi
That's more money for us.	itu lebih banyak uang bagi kami
All what if.	semua bagaimana jika
Go back and see again.	kembali dan lihat lagi
She didn't find him.	dia tidak menemukan dia
People don't believe anymore.	orang tidak percaya lagi
I will never take that.	saya tidak akan pernah mengambil itu
Now, everything is different.	sekarang semuanya berbeda
Something is wrong here.	ada yang salah di sini
I feel bad about it.	saya merasa buruk tentang hal itu
But only partially.	tapi hanya sebagian
That may not be important.	itu mungkin tidak penting
What's happening in the world.	apa yang terjadi di dunia
Faster and faster they come.	lebih cepat dan lebih cepat mereka datang
He might say a few things.	dia mungkin mengatakan beberapa hal
I know you did the best you could.	saya tahu anda melakukan yang terbaik yang anda bisa
We slept there.	kami tidur di sana
He might have found something.	dia mungkin telah menemukan sesuatu
Then he spoke without looking up.	kemudian dia berbicara tanpa melihat ke atas
How do I do that.	bagaimana aku melakukan itu
You don't have to feel good.	tidak harus merasa baik
They won't be long.	mereka tidak akan lama
And until then.	dan sampai saat itu
Probably not.	mungkin tidak
Simply work to make things better and better.	cukup bekerja untuk membuat halhal baik dan lebih baik
But nothing is right.	tapi tidak ada yang benar
You said it helped a little.	anda mengatakan itu membantu sedikit
I think it will scare you.	saya pikir itu akan membuat anda takut
The world is a better place with him gone.	dunia adalah tempat yang lebih baik dengan dia pergi
Don't know about.	tidak tahu tentang
Yes, they are there.	ya mereka ada di sana
That's not possible.	itu tidak mungkin
I'm pretty sure they never existed.	saya cukup yakin mereka tidak pernah ada
The people here need to get out more.	orangorang di sini perlu keluar lebih banyak
I think it should.	saya pikir itu harus
They are too much.	mereka terlalu banyak
The simple life is not bad at all.	hidup sederhana tidak buruk sama sekali
Only for him.	hanya untuk dia
He changed all night.	dia berubah sepanjang malam
Until now all went well.	sampai sekarang semua berjalan dengan baik
The bed there is only big enough for one person.	tempat tidur di sana hanya cukup besar untuk satu orang
Maybe it's okay.	mungkin tidak apaapa
This will come with time.	ini akan datang dengan waktu
I have to say that.	saya harus mengatakan itu
You have to believe it, because it's true.	anda harus percaya itu karena itu benar
I love being in the world.	saya suka berada di dunia
We do better when we know better.	kami melakukan lebih baik ketika kami tahu lebih baik
It's one thing to be true.	itu satu hal untuk menjadi benar
It's never enough.	itu tidak pernah cukup
He is died.	dia sudah mati
Sure enough, they were there.	benar saja mereka ada di sana
Obviously not then.	jelas tidak saat itu
We have a house there.	kami punya rumah di sana
Which, of course, he is.	yang tentu saja dia
I'm never sure what they think they'll see.	saya tidak pernah yakin apa yang mereka pikir akan mereka lihat
I don't want money.	saya tidak ingin uang
That's not necessary.	itu tidak perlu
I have to hurry.	aku harus cepat
Now this is interesting.	sekarang ini menarik
You see it's no longer there.	anda lihat itu sudah tidak ada lagi
If that's possible.	jika itu mungkin
But that's probably for the best.	tapi itu mungkin yang terbaik
There is no other way.	tidak ada jalan lain
He is with us.	dia bersama kita
Someone will start talking.	seseorang akan mulai berbicara
I saw you talking.	saya melihat anda berbicara
There are several different ways.	ada beberapa cara berbeda
He would keep coming until one of them died.	dia akan terus datang sampai salah satu dari mereka mati
Maybe really mean.	mungkin benarbenar berarti
You are my son.	anda adalah anak saya
The people you work with.	orangorang yang bekerja dengan anda
But sleep will not come again.	tapi tidur tidak akan datang lagi
It will make us all feel better.	itu akan membuat kita semua merasa lebih baik
And he was the first.	dan dia adalah yang pertama
Everyone here knows about it.	semua orang yang ada di sini tahu tentang itu
There it is, two houses down.	itu dia dua rumah di bawah
I will not try.	saya tidak akan mencoba
He couldn't seem to get out.	dia sepertinya tidak bisa keluar
We've heard all of this before.	kami telah mendengar semua ini sebelumnya
We'll be back home soon.	kami akan segera kembali ke rumah
He is a good man.	dia adalah pria yang baik
You have come here to talk about nothing.	anda telah datang ke sini untuk berbicara tentang apaapa
Sleep on.	tidur terus
But one, it's a small place.	tapi satu itu adalah tempat kecil
Beyond that, no.	di luar itu tidak
But it must mean something.	tapi itu pasti berarti sesuatu
We've seen this.	kami sudah melihat ini
I have no problem with that at all.	saya tidak punya masalah sama sekali dengan itu
I've been there before.	saya pernah ke sana sebelumnya
I'm sure no one is out to get you.	saya yakin tidak ada yang keluar untuk mendapatkan anda
A difficult question.	sebuah pertanyaan yang sulit
Very fun.	yang sangat menyenangkan
I stood up curiously.	aku berdiri dengan rasa ingin tahu
He will go.	dia akan pergi
You no longer want to be seen.	anda tidak lagi ingin terlihat
They saw that.	mereka melihat itu
If you are good, someone will see it.	jika anda baik seseorang akan melihatnya
Something else is going on.	sesuatu yang lain sedang terjadi
You can't find a better man.	anda tidak dapat menemukan pria yang lebih baik
That is what it is.	itu adalah apa itu
He never.	dia tidak pernah
And, there's nothing wrong with this.	dan tidak ada yang salah dengan ini
He didn't want to go.	dia tidak ingin pergi
Let me tell you what happened.	biarkan saya memberi tahu anda apa yang terjadi
Because no one here can help.	karena tidak ada seorang pun di sini yang dapat membantu
So, we're not bad.	jadi kami tidak buruk
You get the best job.	anda mendapatkan pekerjaan terbaik
And he doesn't just walk.	dan dia tidak hanya berjalan
So, no, not really.	jadi tidak tidak juga
We did our best and kept going.	kami melakukan yang terbaik dan terus berjalan
But this time it's not about love.	tapi kali ini bukan tentang cinta
He wanted to help.	dia ingin membantu
The above is not wrong.	hal di atas tidak salah
I thought it was just me.	saya pikir itu hanya saya
I don't live in a dead world.	saya tidak hidup di dunia yang mati
They are just trying to do the job.	mereka hanya mencoba melakukan pekerjaan
It doesn't exist now, but they can.	itu tidak ada sekarang tetapi mereka bisa
There's little more we can do.	ada sedikit lagi yang bisa kita lakukan
It's more the same.	ini lebih sama
But that's not important.	tapi itu tidak penting
I really want to know what happened in the end.	saya benarbenar ingin tahu apa yang terjadi pada akhirnya
He was glad he didn't have to.	dia senang dia tidak perlu melakukannya
He wasn't afraid anymore.	dia tidak takut lagi sekarang
But almost impossible.	tapi hampir tidak mungkin
Someone wants me dead.	seseorang ingin aku mati
What is going on?.	apa yang sedang terjadi
I eat well.	saya makan dengan baik
But not everyone is so sure.	tapi tidak semua orang begitu yakin
We will see.	lihat saja
They will get me.	mereka akan mendapatkan saya
So it has come.	jadi itu telah datang
That means you get.	itu berarti anda mendapatkan
You don't need anyone to tell you.	anda tidak perlu siapa pun untuk memberi tahu anda
But it doesn't matter.	tapi itu tidak masalah
Two very different worlds, and both exist within us.	dua dunia yang sangat berbeda dan keduanya ada di dalam diri kita
That was the last time he did it.	itu terakhir kali dia melakukannya
But now the strong man is back.	tapi sekarang orang kuat itu kembali
I can do one or the other.	saya bisa melakukan satu atau yang lain
He will always come.	dia akan selalu datang
I have nowhere else to go.	saya tidak punya tempat lain untuk pergi
I think they will.	saya pikir mereka akan melakukannya
When it comes.	ketika itu datang
He is simple and strong.	dia sederhana dan kuat
No, there is no one at this time.	tidak tidak ada seseorang saat ini
Or very simple.	atau sangat sederhana
There is.	ada
Interesting.	menarik
You don't have to change.	anda tidak harus berubah
I'm starting to think we were right.	saya mulai berpikir kami benar
This is true when we die.	ini benar ketika kita mati
Not because it's good.	bukan karena itu bagus
We got so many old ones here.	kami mendapatkan begitu banyak yang lama di sini
But he is very good.	tapi dia sangat baik
I'm not trying to say anything.	saya tidak mencoba untuk mengatakan apaapa
I know a few.	aku tahu beberapa
It doesn't matter.	tidak apaapa
Many women have.	banyak wanita memiliki
Like the last one.	seperti yang terakhir
That's not true either.	itu juga tidak benar
He's probably dead.	dia mungkin sudah mati
I want him back.	aku ingin dia kembali
I know that voice.	aku tahu suara itu
I'm sure he's not a real person.	saya yakin dia bukan orang yang nyata
We see you try.	kami melihat anda mencoba
Yes, Yes, Yes.	ya ya ya
And they are right.	dan mereka benar
He's also pretty good at it.	dia juga cukup bagus dalam hal itu
There's a lot of that too.	ada banyak itu juga
This worked fine for me.	ini bekerja dengan baik untuk saya
Just do this again and again and again.	hanya melakukan ini lagi dan lagi dan lagi
No one will know.	tidak akan ada yang tahu
No can't do that.	tidak tidak bisa melakukan itu
Finally, something came to him.	akhirnya sesuatu datang padanya
It has always been, always will be.	selalu begitu akan selalu begitu
Too much.	banyak kali
No, not all of them.	tidak tidak semuanya
And that's not too bad, is it?	dan itu tidak terlalu buruk bukan
Money is there.	uang ada
And that scared him.	dan itu membuatnya takut
I want all.	saya ingin semua
Simpler time.	waktu yang lebih sederhana
This is actually a lot of work to do.	ini sebenarnya banyak pekerjaan yang harus dilakukan
Now let's start actually doing this.	sekarang kita mulai benarbenar melakukan ini
I saw about me.	saya melihat tentang saya
And this is still true.	dan ini masih benar
This is a nice family home.	ini adalah rumah keluarga yang bagus
So that's one.	jadi itu satu
That's too hard to do.	itu terlalu sulit untuk dilakukan
You can find them all here.	anda dapat menemukan semuanya di sini
They came out really well.	mereka keluar dengan sangat baik
You get both.	anda mendapatkan keduanya
I just took them.	saya hanya mengambil mereka
Most of us don't.	sebagian besar dari kita tidak
I'll get this to work.	aku akan mendapatkan ini untuk bekerja
There's something else too.	ada hal lain juga
The way they talk.	cara mereka berbicara
So we have to do something right.	jadi kita harus melakukan sesuatu yang benar
Won't happen next time.	tidak akan terjadi lain kali
But that's okay for now.	tapi tidak apaapa untuk saat ini
And he didn't speak.	dan dia tidak berbicara
It would be much worse.	itu akan menjadi jauh lebih buruk
Now is the time for questions.	sekarang adalah waktu untuk pertanyaan
I always.	saya selalu
I feel for the boy.	saya merasa untuk anak itu
Work with every child for us.	bekerja dengan setiap anak untuk kami
I have my problem too.	saya memiliki masalah saya juga
Of course he made himself clear.	tentu saja dia membuat dirinya jelas
It's simple and it works.	ini sederhana dan berhasil
That he was sure of.	itu dia yakin
It's there too.	itu juga ada di sana
He didn't look like he wanted either.	dia juga tidak tampak ingin
Very very good .	sangat sangat baik
He's like you.	dia seperti anda
I'm sure he will do well.	saya yakin dia akan melakukannya dengan baik
Your case may be much different.	kasus anda mungkin jauh berbeda
You have to do some work.	anda harus melakukan beberapa pekerjaan
Works well for me.	bekerja dengan baik untuk saya
No one could find anything.	tidak ada yang bisa menemukan apa pun
How my life changed.	bagaimana hidup saya berubah
I never came back.	saya tidak pernah kembali
He's out.	dia keluar
No question about that.	tidak ada pertanyaan tentang itu
I'm sure he is.	aku yakin dia
But it had to stop, and soon.	tapi itu harus berhenti dan segera
There's no way out of there.	tidak ada jalan keluar dari sana
Maybe already.	mungkin sudah
You may want to be outside.	anda mungkin ingin berada di luar
Or you can have more children.	atau anda dapat memiliki lebih banyak anak
You do what you do.	anda melakukan apa yang anda lakukan
I tried to make him see reason.	saya mencoba membuatnya melihat alasan
But they know it's there.	tapi mereka tahu itu ada
They are just together.	mereka hanya bersama
It's always there.	itu selalu ada
Look, there he is.	lihat itu dia
He really thought it would happen.	dia benarbenar berpikir itu akan terjadi
Only a few .	hanya sedikit
No more work.	tidak ada lagi pekerjaan
I just believe it.	saya hanya percaya itu
A lot of time.	banyak waktu
You definitely can't do that.	anda pasti tidak bisa melakukan itu
I found it not good.	saya menemukan itu tidak baik
We have a good reason.	kami punya alasan bagus
I need more than that.	saya membutuhkan lebih banyak dari itu
I'm used to it now.	aku sudah biasa sekarang
He felt he was close.	dia merasa dia sudah dekat
We live, in part, because of you.	kami hidup sebagian karena anda
They want me to go.	mereka ingin aku pergi
Don't let it take so long next time.	jangan biarkan begitu lama lain kali
Loss is real.	kehilangan itu nyata
Maybe this will be easier for you.	mungkin ini akan lebih mudah bagi anda
This is not a problem.	ini tidak masalah
He knows what he knows.	dia tahu apa yang dia tahu
There shouldn't be that.	seharusnya tidak ada itu
We know that you will not leave without him.	kami tahu bahwa anda tidak akan pergi tanpa dia
The best way is to work hard.	cara terbaik adalah dengan bekerja keras
So this is a big problem.	jadi ini adalah masalah besar
At least we know where we are.	setidaknya kita tahu di mana kita berada
Which is impossible.	yang tidak mungkin
That's definitely not easy to do.	itu pasti tidak mudah untuk dilakukan
We have to go in together and see what happens.	kita harus masuk bersama dan melihat apa yang akan terjadi
And let it go.	dan biarkan saja
People will always change.	orang akan selalu berubah
It's really fast.	ini benarbenar cepat
Even then he thought he might be wrong.	bahkan kemudian dia berpikir dia mungkin salah
He is strong.	dia kuat
You will feel better.	kamu akan merasa lebih baik
Interesting thing about it.	hal yang menarik tentang itu
He took one.	dia mengambil satu
Something is going on there.	sesuatu sedang terjadi di sana
I also have another problem.	saya juga punya masalah lain
It doesn't take much, a little goes a long way.	tidak perlu banyak sedikit berjalan jauh
He really did.	dia benarbenar telah melakukannya
But you can't be both.	tapi anda tidak bisa menjadi keduanya
It really is a home away from home.	itu benarbenar jauh dari rumah
Just get back to being yourself.	baru kembali menjadi diri sendiri
