There and then.	teo ary avy eo
Yes, maybe he is.	eny angamba izy
It could not be done.	tsy azo natao izany
But there is so much more.	mbola betsaka kokoa anefa izany
Money is more important.	ny vola no zavadehibe kokoa
He looked thoughtful.	nijery nieritreritra izy
I think it's good to go.	heveriko fa tsara ny mandeha
It’s about being there.	fa momba ny hoe eo
I love that about it.	tiako izany momba izany
If so, no problem.	raha eny tsy misy olana
I really don’t want it to go away.	tena tsy tiako tsy hisy intsony izany
Then they left.	dia lasa izy ireo
They are all there now.	izy rehetra dia misy ankehitriny
It doesn’t make sense anymore.	tsy misy dikany intsony
You don’t have to do anything special.	tsy mila manao zavatra manokana ianao
I have to get it, you know.	tsy maintsy mahazo azy aho fantatrao
I have to work.	tsy maintsy miasa aho
Well, not only that.	eny ary tsy izany ihany
It will always be a part of me.	ho ampahany amiko foana izany
And he stopped.	dia nijanona izy
Don’t act like you’re not happy to see me.	aza manao toy ny tsy faly mahita ahy
Sounds fun.	toa mahafinaritra
While it turned out to be safe in the end, it wasn’t very good.	na dia hita fa azo antoka aza izany taminny farany dia tsy dia tsara loatra
It is very possible.	tena azo atao izany
He really didn't.	tsy nanao izany tokoa izy
There’s nothing unusual about that either.	tsy misy tsy mahazatra aminizany koa
But it was not meant for us.	saingy tsy natao ho antsika izany
They do the same.	manao izany koa izy ireo
I think it’s just for me.	heveriko ho ahy fotsiny izany
It always comes down to the same thing.	tonga hatrany aminny zavatra mitovy
Maybe it doesn’t even exist.	angamba tsy misy akory izany
The day became meaningless.	lasa tsy nisy dikany ny andro
It’s very special.	tena manokana izany
I told him not to come to this place.	nilaza taminy aho mba tsy ho tonga eto aminity toerana ity
Confused, he could not get out of his first place.	very hevitra izy ka tsy afaka taminny toerana voalohany nisy azy
There is no end to the ideas.	tsy misy farany ny hevitra
They looked good before.	nijery tsara izy ireo teo aloha
Some even do both.	misy mihitsy aza ny manao azy roa
At first, there was no money.	taminny voalohany dia tsy nisy ny vola
It's fast.	haingana izany
That alone is not enough.	izay ihany no tsy ampy
I am very happy for him.	tena faly aho ho azy
I have to have it with me.	tsy maintsy manana izany miaraka amiko aho
But, it’s gone.	saingy lasa izany
That's enough.	ampy izany
Especially when there are no results at all.	indrindra rehefa tsy misy mihitsy ny vokatra azo
It seems too hard.	toa mafy loatra izany
We have nothing in it.	tsy manana na inona na inona izahay ao
Just part of the game.	ampahany fotsiny aminny lalao
All good work.	asa tsara daholo
But this does not seem to be the case.	toa tsy izany anefa no izy
If they don’t know it.	raha tsy fantany izany
I have good news.	manana vaovao tsara aho
But not more than enough.	saingy tsy mihoatra ny ampy
Life does not go that way.	tsy mandeha toy izany ny fiainana
Glad you didn’t have that problem.	faly ianao fa tsy nanana izany olana izany
It seems to be meant to be.	toa natao ho izy io
There are many reasons.	maro ny antony
You know we do.	fantatrao fa manao izany izahay
The endless war.	ny ady tsy misy farany
So we are the same.	ka mitovy isika
This product is a very good product.	ity vokatra ity dia vokatra tena tsara
I think everyone came.	heveriko fa tonga daholo ny olona rehetra
It is personal and special.	izy io dia manokana sy manokana
I really liked it in my first year.	tena tiako ilay izy taminny taona voalohany
It doesn’t make much sense.	tsy dia misy dikany loatra
Some you will like more than others.	ny sasany dia ho tianao kokoa noho ny hafa
I need to draw more.	mila manao sary bebe kokoa aho
In fact, this is not true.	raha ny marina tsy marina izany
It's not like him.	tsy toa azy ilay izy
You have to go as fast as possible.	tsy maintsy mandeha haingana araka izay azo atao
He is not like you.	tsy mitovy aminao izy
This is because.	izany dia satria
I expect nothing.	tsy manantena na inona na inona aho
That’s where it starts.	eo no manomboka
There is nothing you can do to me.	tsy misy azonao atao amiko
No, no problem at all.	tsia tsy misy olana mihitsy
He almost died.	saika maty izy
The first image is from one of these games.	ny sary voalohany dia avy aminny iray aminireo lalao ireo
It’s for him personally.	ho azy manokana izany
And yes, that's right.	ary eny marina izany
He seems to be dead.	toa maty izy
Each journey is an individual journey.	ny dia tsirairay dia dia tsirairay
In fact, there is no problem at all.	raha ny marina tsy misy olana mihitsy
Clearly, this is not the case here.	mazava fa tsy izany no zavamisy eto
We will be gone.	tsy hisy intsony isika
I always looked at him.	nijery azy foana aho
But that's what it is.	fa izay no izy
Bad, bad stuff.	ratsy zavatra ratsy
You were always there.	teo foana ianao
We need more people for that.	mila olona maro kokoa izahay aminizany
But he still needs someone.	mbola mila olona iray ihany anefa izy
It's too special.	tena manokana loatra ilay izy
It is a matter of choice.	resaka safidy io
In any case.	na izany na tsy izany
It may not be the other way around.	mety tsy ho fomba hafa izany
It was a wonderful time for him.	fotoana mahafinaritra ho azy izany
Now he will do it.	ankehitriny dia hanao izany izy
Here is the question.	ity ny fanontaniana
He came to me.	tonga tamiko izy
There was none.	tsy nisy izany
He can't have.	tsy afaka manana izy
With other women.	miaraka aminny vehivavy hafa
That might be good for him.	mety ho tsara ho azy izany
For you too.	ho anao koa
Not a little.	tsy kely akory
So we had more time inside.	noho izany dia nanana fotoana bebe kokoa tao anatiny izahay
But the facts are not the same.	tsy mitovy anefa ny zavamisy
Which is a pretty good thing.	izay zavatra somary tsara
It's simpler.	tsotra kokoa ilay izy
One is not history, one is history.	ny iray tsy tantara ny iray no tantara
But overall great.	fa aminny ankapobeny lehibe
So, it’s really good.	noho izany dia tena tsara
But they are still different.	mbola hafa ihany anefa izy ireo
Still to come.	mbola ho avy
Then only you are safe.	dia ianao ihany no azo antoka
Anything that can happen.	izay rehetra mety hisy
I don’t do that anymore.	tsy manao izany intsony aho
But it is not the house that is important.	tsy ny trano anefa no zavadehibe
Life is not easy.	tsy mora ny fiainana
I hate it.	tsy tiako izany
Well, thank you very much.	tsara misaotra betsaka
So glad you were able to do that.	faly be fa afaka nanao izany ianao
I was really bad then.	tena ratsy be aho taminizany
You're great.	mahafinaritra ianao
It is almost always full.	saika feno foana izy io
It’s exactly the same.	mitovy tanteraka izany
All these games.	ireo lalao rehetra ireo
But this has happened before.	efa nisy toy izany anefa teo aloha
And many are.	ary maro no
If they do.	raha manao izany izy ireo
And that's how it should be.	ary izany no tokony ho izy
One at a time or both.	iray aminny fotoana iray na izy roa
Sometimes it works, and sometimes it doesn’t.	mandeha izany indraindray ary indraindray tsy mandeha
What are we.	inona isika
He was no more, of course.	tsy teo intsony izy mazava ho azy
Lots of money.	vola be dia be
At first, they may look like that, for sure.	aminny voalohany dia mety ho toa izany izy ireo azo antoka
There is nothing special between me and you.	tsy misy zavatra manokana eo amiko sy ianao
But there is another problem.	saingy misy olana hafa
However, they are not suitable for cars.	na izany aza tsy mety aminny fiara izy ireo
There are two parts to this.	misy ampahany roa aminizany
This is not for beginners.	tsy natao ho anny vao manomboka izany
It is wrong or unworthy.	tsy mety na tsy mendrika izany
He wants to make news.	te hanao vaovao izy
It was wrong then and it is wrong now.	diso izany taloha ary diso ankehitriny
But if you had.	fa raha nanana ianao
All of these places seem to be dead.	toa efa maty daholo ireo toerana ireo
Whatever the reason.	na inona na inona antony
Just do it.	ataovy fotsiny
They are very new.	tena vaovao izy ireo
He seems insignificant and insignificant.	toa tsy misy dikany sy tsy misy dikany izy
She couldn't say anything to him.	tsy afaka nilaza na inona na inona taminy izy
He could not do that.	tsy afaka nanao izany izy
The other three methods are better.	ireo fomba telo hafa dia tsara kokoa
He didn't even think he knew it.	tsy nieritreritra akory izy fa fantany izany
And that's not true.	ary tsy marina izany
There is now.	misy izao
I have never seen it come.	tsy mbola nahita izany ho avy
It can make things fun and easy.	afaka manao zavatra mahafinaritra sy mora izany
For the big day.	ho anny andro lehibe
It’s not even a conversation about that.	tsy mbola resaka momba izany ihany
Many people died.	olona maro no maty
I don’t need to have it.	tsy mila manana azy aho
You can never do enough.	tsy afaka manao ny ampy mihitsy ianao
He saw it for himself.	nahita izany ho azy izy
But this is very bad.	tena ratsy anefa izany
This is very important.	tena zavadehibe tokoa izany
You must have told him.	tsy maintsy ianao no nilaza taminy
People disagree.	tsy mitovy hevitra ny olona
He soon had a prominent position as well.	tsy ela dia nanana toerana lehibe koa izy
We need him.	mila azy izahay
Now we are alone.	ankehitriny isika irery
To talk to him once.	mba hanao resaka indray mandeha aminy
He is very alone now.	tena irery izy izao
That’s true, if not so true.	marina izany raha tsy dia marina loatra
The years went by.	nandeha ny taona
There is something wrong with it.	misy zavatra tsy mety ao
It’s even worse.	ratsy kokoa izany
Men also don’t really see it as something else.	ny lehilahy koa tsy tena mahita azy ho zavatra hafa
Done a little now and then.	natao kely izao sy izao
I really like him.	tena tiako izy
They are not difficult.	tsy sarotra izy ireo
She was a small woman, very beautiful.	vehivavy kely izy tena tsara tarehy
I think either you did too much or not enough.	heveriko fa na nanao be dia be ianao na tsy ampy
Yes, they are beautiful.	eny tsara tarehy izy ireo
Looks like where we are now.	toa ny toerana nisy anay ankehitriny
We need to act fast.	mila miasa haingana isika
Thank you for doing that.	misaotra anao nanao izany
Yes, he can.	eny mety izy
At the right time.	aminny fotoana mety
I think that’s the most appropriate.	heveriko fa mety indrindra izany
Or somewhere far away in the news.	na toerana hafa lavitra aminny vaovao
Look again.	jereo indray
Some of them are clearly visible and some are not.	ny sasany aminizy ireo dia hita tsara ary ny sasany tsy
Or if you die.	na raha maty ianao
They are different.	samy hafa izy ireo
They must have done so a long time ago.	tokony ho efa ela no nanao izany izy ireo
We hope others will do the same.	manantena izahay fa hanao toy izany koa ny hafa
No words from him.	tsy misy teny avy aminy
It’s not an overnight job.	tsy asa indray alina izany
Well, part of it.	eny ary ampahany aminizany
Three people were killed.	olona telo no maty
I am with them.	miaraka aminizy ireo aho
History is everywhere.	eny rehetra eny ny tantara
The simplest thing.	zavatra tsotra indrindra
They must come.	tsy maintsy ho avy izy ireo
You might like him.	mety ho tianao izy
Everything is lost, and then some.	very ny zavadrehetra ary avy eo ny sasany
This is usually a process.	matetika dia dingana iray izany
We are all the same.	mitovy daholo isika rehetra
A little crazy.	adala kely
Thank him.	misaotra azy
Then again, it may not be a good idea.	avy eo indray mety tsy hevitra tsara
They are very easy.	tena mora izy ireo
Because you know you’re better off with them.	satria fantatrao fa tsara kokoa ianao miaraka aminizy ireo
There was no room for anything else, he told himself.	tsy nisy toerana ho anny zavatra hafa hoy izy taminny tenany
There was a way of saying that.	nisy fomba nilaza izany
But they may not even need it.	mety tsy mila izany akory anefa izy ireo
You are only one.	iray ihany ianao
It seemed perfect to me.	toa tanteraka tamiko izany
I may have done something wrong.	mety nisy zavatra diso aho
He had to stop doing his own thing.	tsy maintsy nijanona tsy nanao ny azy intsony izy
Maybe that’s right for you.	angamba mety aminao izany
We have no problem with that idea.	tsy manana olana aminizany hevitra izany isika
It's a real picture.	sary marina ilay izy
Apparently this is not possible.	hita fa tsy tanteraka izany
I should do the same.	tokony hanao toy izany koa aho
What is easy for some, may be difficult for others.	izay mora ho anny sasany mety ho sarotra ho anny hafa
It seems so.	toa toy izany
Which he already knows now.	izay efa fantany izao
Not at all, he told her.	tsy izany mihitsy hoy izy taminy
And about others.	ary ny aminny hafa
What a great one.	inona no lehibe
I don't see why.	tsy hitako ny antony
But that's it.	fa izany no izy
It didn’t need anything else.	tsy nila zavatra hafa izany
Steps to evil.	dingana aminny ratsy
They did a really good job.	nanao asa tena tsara izy ireo
He is already here.	efa eto izy
I'm the same age as him.	efa mitovy taona aminy aho
People have gone before.	efa lasa tany aloha ny olona
I lost too much.	very be loatra aho
The people inside are what matters.	ny olona ao anatiny no zavadehibe
This cannot be done quickly.	tsy azo atao haingana izany
We are close.	efa akaiky izahay
There is good news and bad news.	misy vaovao tsara sy ratsy
He said it again.	nilaza izany indray izy
But we are small.	kely anefa izahay
They have to be there.	tsy maintsy ho any izy ireo
Of course, this product is not new.	mazava ho azy fa tsy vaovao io vokatra io
And each of them is doing a decent job.	ary ny tsirairay aminizy ireo dia manao asa mendrika
You just have to look.	mila mijery fotsiny ianao
The truth is very different.	hafa mihitsy ny marina
We did the right thing.	nanao ny tsara izahay
You look at them.	mijery azy ireo ianao
They said it was about me.	nilaza izy ireo fa momba ahy izany
The problem is the same.	mitovy ny olana
It doesn’t make sense of course.	tsy misy dikany izany mazava ho azy
It's all too early.	mbola aloha loatra izany rehetra izany
Then it’s yours, as it should be.	dia anao izany araka ny tokony ho izy
It is very difficult to do the work.	tena sarotra ny manao ny asa
They don’t have much around.	tsy manana zavatra betsaka izy ireo manodidina
I never saw him again.	tsy nahita azy intsony
The days went by.	nandeha ny andro
For you and for me too.	ho anao ary ho ahy koa
But he can't.	tsy afaka anefa izy
He is very full of himself.	tena feno ny tenany izy
It goes well.	mandeha tsara izany
It can have all sorts of possibilities.	mety manana ny karazana mety rehetra izy io
There will be other parts.	hisy ampahany hafa
You lost a lot.	very betsaka ianao
It was a very bad place.	toerana ratsy be ilay izy
There was nothing for them now.	tsy nisy na inona na inona ho azy ireo ankehitriny
That is why.	izany no antony
But now it all seems wrong.	fa izao dia toa diso daholo
You have two options here.	manana safidy roa ianao eto
I know you will.	fantatro fa hanao izany ianao
He has me.	manana ahy izy
He should do what he wants.	tokony hanao izay tiany izy
It would be really good.	tena ho tsara izany
I'm not wrong.	tsy misy diso akory aho
Far better.	tsara lavitra
He also lost his job.	very asa koa izy
He is for you.	izy no ho anao
Or it could be a fact.	na mety ho zavamisy
Thanks for a great time.	misaotra taminny fotoana tena tsara
But something was missing.	nisy zavatra tsy ampy anefa
The real world doesn’t work that way.	tsy miasa toy izany ny tontolo tena izy
She is very happy.	faly be izy
They are crazy.	adala izy ireo
But do it in a way.	fa ataovy aminny fomba
Now is the time, therefore.	izao no fotoana noho izany
Other people are busy.	be asa be ny olona hafa
Now that’s bad.	ankehitriny dia ratsy izany
That can be very important.	mety ho zavadehibe tokoa izany
It didn’t make much sense.	tsy dia nisy dikany loatra izany
I couldn't do anything else.	tsy afaka nanao zavatra hafa aho
I did something good.	nanao zavatra tsara aho
It is also a problem for the same reason.	olana ihany koa izany noho ny antony mitovy
He did not see her.	tsy nahita azy izy
Certainly not.	azo antoka fa tsy hisy izany
He walked down the street.	nandeha taminny lalana izy
He had never seen her like this before.	mbola tsy nahita azy toy izao mihitsy izy
You are still young.	mbola kely ianao
That is your problem.	izany no olana aminao
It was fun.	nahafinaritra izany
It was really fun.	tena mahafinaritra tokoa ilay izy
He had an idea.	nanana hevitra izy
I never knew.	tsy fantatro mihitsy
The day starts early.	manomboka aloha ny andro
He said.	hoy izy
It's from you.	avy aminao izany
But he is not like us.	tsy mba toa antsika anefa izy
He couldn't see her, but he didn't need to.	tsy afaka nahita azy izy saingy tsy nila izany
It wasn’t quite as pleasant as a place.	tsy dia nahafinaritra loatra toy ny toerana iray
And once you do too.	ary indray mandeha ianao koa
Go, with very little food.	mandeha miaraka aminny sakafo kely dia kely
This is so crazy.	tena adala izany
I often need the last word on everything.	matetika aho no mila ny teny farany aminny zavadrehetra
But the word went, so we went.	fa mandeha ny teny ka nandeha izahay
Everything is true.	marina ny zavadrehetra
No one was completely honest.	samy tsy nisy nanao ny marina tanteraka
I have always been like that.	efa toy izany foana aho
But this is one of those days.	saingy ity no iray aminireo andro ireo
And those who can’t or can’t, won’t.	ary ireo izay tsy afaka na tsy afaka dia tsy hanao
There won't be much talk tonight.	tsy hisy resaka be anio alina
But it doesn’t really matter to me.	saingy tsy dia ilaina loatra amiko izany
He looked at her carefully.	nijery azy tsara izy
The car seemed to be empty.	toa tsy nisy na inona na inona ilay fiara
I’m really glad they work so hard.	tena faly aho fa tena miasa mafy izy ireo
Or we kind of, kind of, need them.	na isika karazana karazana mila azy ireo
It really makes sense.	tena misy dikany tokoa izany
See everything with me.	jereo ny zavadrehetra miaraka amiko
Worth the trip.	mendrika ilay dia
But it’s all been a long time coming.	saingy efa ela be izany rehetra izany
And it’s hard to watch.	ary sarotra ny mijery
Very different from me.	tena tsy mitovy amiko
I had a word for him.	nisy teny taminy aho
This is a difficult thing.	zavatra sarotra ity
In general, it is very real.	aminny ankapobeny dia tena misy izany
It’s not that hard.	tsy dia sarotra loatra izany
No one has done that before.	tsy nisy olona nanao izany teo aloha
And nothing else.	ary tsy zavatra hafa
Do, do, do.	ataovy ataovy ataovy
I said easily.	hoy aho mora
I love getting it.	tiako ny mahazo azy
Basically it works.	aminny ankapobeny dia miasa izany
It may become a part of them.	mety ho lasa ampahany ho azy ireo ireo
I think the time has come.	heveriko fa tonga ny fotoana
Everything is going well now.	mandeha tsara izao ny zavadrehetra
Lots of talk.	be resaka
I know everything, everything, everything is true.	fantatro ny zavadrehetra ny rehetra marina ny rehetra
But they did get there.	tonga tany anefa izy ireo
He was not there.	tsy teo izy
Now everything is different.	aminizao fotoana izao dia samy hafa daholo
If the or the.	raha ny na ny
Because of him.	noho ny aminy
Very feminine.	tena vehivavy
But it is different.	hafa ihany anefa izany
But not all words are correct.	saingy tsy ny teny rehetra akory no mety
They are not the same.	tsy mitovy izy ireo
When something goes, that’s it.	rehefa misy zavatra mandeha dia izay
No, no, the former.	tsia tsia ny eo aloha
We couldn’t do that.	tsy afaka nanao izany izahay
But the people went.	nandeha anefa ny olona
And now they are gone.	ary ankehitriny tsy misy intsony izy ireo
As always, having a good time is hard.	toy ny mahazatra sarotra ny fotoana mahafinaritra
He knows this very well.	fantany tsara izany
But there is another war.	mbola misy ady hafa koa anefa
People with reasons.	olona manana antony
It will come in time.	ho avy aminny fotoana izany
He seems to like it.	toa tiany izany
I love being in this world.	tiako ny eto aminizao tontolo izao
It was a beautiful place.	toerana tsara tarehy ilay izy
I should know everything.	tokony ho fantatro ny zavadrehetra
That is the real problem.	izany no tena olana
He was confused.	very hevitra izy
If so, you have other ideas.	raha eny manana hevitra hafa ianao
That’s probably why.	izany angamba no antony
No, he is doing something far worse than that.	tsia fa manao zavatra ratsy lavitra noho izany izy
I just couldn’t walk.	tsy afaka nandeha fotsiny aho
There should be.	tokony hisy
Not as seen.	tsy araka ny hita
This is a good place.	toerana tsara izany
Everyone had a great time.	nisy fotoana nahafinaritra ny rehetra
Nothing else.	tsy misy hafa koa
But they are grown up.	saingy efa lehibe izy ireo
Keep them away.	ataovy lavitra izy ireo
However, this is still not working.	na izany aza mbola tsy mandeha izany
There is a place.	misy toerana
A lot of money.	vola be
He looked again.	nijery indray izy
Something they shouldn’t know.	zavatra tsy tokony ho fantany
Now we have to start everything.	ankehitriny dia tsy maintsy manomboka ny zavadrehetra isika
It was really hard work for me.	tena asa mafy tamiko izany
